Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
1960,0.0,3.1,2.5,-39.42,9.0,363.7081818181818,25.01,51.026363636363634,50.026363636363634,-0.15,612.9672727272728,41.0,4.0,1.0,366.0,1.44,1440.0,-0.023636363636363636,15.30909090909091,0.0,85.0,1457.3445454545456,58.3,48.58,51.06545454545455,35.49,36.1,34.914545454545454,32.74818181818182,33.3,41.68,39.40909090909091,26.49909090909091,22.684545454545454,20.3,21.925454545454546,48.93,32.43,31.730000000000004,31.64909090909091,29.812727272727273,45.344545454545454,93.9190909090909,66.0,10.0,88.5,8
1961,0.0,3.1,2.5,-40.68555555555556,9.0,363.5466666666667,25.01,51.0,50.0,-0.19111111111111112,612.9177777777778,41.0,4.493333333333333,1.0,366.0,1.4844444444444445,1637.4077777777777,-0.015555555555555557,15.566666666666666,0.0,85.0,1705.8977777777777,58.3,48.58,51.02,35.49,36.1,34.88,32.72333333333333,33.3,41.63333333333333,39.35666666666666,26.44666666666667,22.54222222222222,20.29888888888889,21.96,48.93,32.43,31.73,31.595555555555556,29.869999999999997,45.47,93.80777777777777,66.0,10.0,88.5,8
1962,0.0,3.049090909090909,2.5,-41.126363636363635,9.0,363.52,25.01,51.0,50.0,-0.23545454545454544,612.8672727272727,41.0,4.75,1.0,366.0,1.6290909090909091,1720.0,-0.03181818181818182,15.80909090909091,0.0,85.0,1720.0,58.2,48.58,51.02,35.43727272727273,36.1,34.92363636363637,32.692727272727275,33.3,41.54636363636364,39.27090909090909,26.41,22.47909090909091,20.246363636363636,22.01090909090909,48.93,32.43,31.684545454545454,31.56,29.847272727272728,45.5,93.74727272727273,66.0,10.0,88.5,8
1963,0.0,3.02,2.5,-41.29777777777778,9.0,363.53,25.01,51.0,50.0,-0.12111111111111111,612.8177777777778,41.0,4.75,1.0,366.0,1.72,1720.0,-0.05,15.799999999999999,0.0,85.0,1720.0,58.2,48.535555555555554,51.02,35.4,36.1,34.913333333333334,32.75,33.3,41.55777777777777,39.238888888888894,26.45777777777778,22.424444444444443,20.268888888888892,21.987777777777776,48.93,32.43,31.695555555555554,31.559999999999995,29.869999999999997,45.5,93.69999999999999,66.0,10.0,88.5,8
1964,0.0,3.02,2.5,-42.61363636363637,9.0,363.35909090909087,25.01,51.0,50.0,-0.2009090909090909,612.7672727272727,41.0,4.75,1.0,365.91636363636366,1.7199999999999998,1720.0,-0.05454545454545454,16.29090909090909,0.0,85.0,1720.0,58.2,48.49,51.06545454545455,35.4,36.1,34.92363636363637,32.724545454545456,33.35272727272727,41.64454545454545,39.18363636363636,26.44727272727273,22.38909090909091,20.3,22.014545454545456,48.93,32.43,31.730000000000004,31.56,29.847272727272728,46.24272727272727,93.68545454545455,66.0,10.0,88.5,8
1965,0.0,3.02,2.5,-62.21666666666667,9.0,361.03333333333336,25.01,51.0,50.0,-0.17555555555555558,612.7177777777778,41.0,4.75,1.0,363.00333333333333,1.72,1720.0,0.1711111111111111,25.322222222222223,0.0,85.0,1720.0,58.2,48.49,51.11,35.44777777777777,36.09888888888889,34.96,32.69,33.39,41.68,39.15111111111111,26.45777777777778,22.337777777777777,20.301111111111112,22.10111111111111,48.88444444444444,32.43,31.73,31.60777777777778,29.869999999999997,50.163333333333334,93.91555555555556,66.0,10.0,88.5,8
1966,0.0,3.02,2.5,-82.34909090909092,9.0,358.3627272727272,25.01,51.0,50.0,-0.20454545454545456,612.6672727272727,41.0,4.7709090909090905,1.0,360.39818181818185,1.7199999999999998,1723.2836363636363,0.3090909090909091,34.445454545454545,0.0,85.0,1734.2854545454545,58.2,48.447272727272725,51.11000000000001,35.48909090909091,36.04181818181818,34.914545454545454,32.68909090909091,33.342727272727274,41.63454545454545,39.20818181818182,26.5,22.31,20.46727272727273,22.074545454545454,48.88363636363636,32.43,31.730000000000004,31.65,29.89909090909091,49.805454545454545,94.8190909090909,66.0,10.0,88.5,8
1967,0.0,3.02,2.5,-69.05888888888889,9.0,359.72222222222223,25.01,51.0,50.0,-0.15333333333333332,612.6177777777779,41.0,4.946666666666667,1.0,361.76666666666665,1.7644444444444445,1760.0,0.11666666666666667,28.188888888888886,0.0,85.0,1760.0,58.1,48.4,51.11,35.43666666666667,36.06666666666667,34.88,32.63666666666667,33.3,41.64555555555555,39.24,26.545555555555556,22.31,20.61777777777778,21.98888888888889,48.93,32.43,31.73,31.649999999999995,29.84333333333333,47.31666666666667,95.73444444444445,66.0,10.0,88.5,8
1968,0.0,3.02,2.5,-57.301818181818184,9.0,361.20909090909095,25.01,51.0,50.0,-0.13,612.5672727272727,41.0,4.75,1.0,363.70909090909095,1.7563636363636363,1760.0,0.04000000000000001,22.454545454545453,0.0,85.0,1760.0,58.1,48.4,51.153636363636366,35.4,36.1,34.88,32.66,33.3,41.68090909090909,39.29636363636364,26.681818181818183,22.31090909090909,20.650909090909092,22.066363636363636,48.93,32.43,31.730000000000004,31.64909090909091,29.81,47.53727272727272,96.17727272727274,65.5,10.0,88.5,8
1969,0.0,3.02,2.5,-60.955555555555556,9.0,360.7066666666667,25.01,51.0,50.0,-0.09777777777777778,612.5177777777777,41.0,4.805555555555555,1.0,363.0,1.72,1764.4444444444443,0.04444444444444444,24.244444444444444,0.0,85.0,1760.0,58.1,48.4,51.2,35.44777777777777,36.09888888888889,34.88,32.63666666666667,33.3,41.733333333333334,39.38333333333333,26.76,22.363333333333333,20.706666666666667,22.073333333333334,48.93,32.43,31.73,31.595555555555556,29.809999999999995,47.82,96.51222222222222,65.5,10.0,88.5,8
1970,0.0,3.02,2.5,-59.88545454545454,9.0,360.8190909090909,25.104545454545452,51.0,50.0,-0.14727272727272725,612.4672727272728,41.0,4.840909090909091,1.0,363.08181818181816,1.7636363636363634,1763.6354545454546,0.10636363636363635,23.627272727272725,0.0,85.0,1760.0,58.0,48.4,51.24,35.43727272727273,36.04181818181818,34.88,32.61090909090909,33.35272727272727,41.77090909090909,39.41,26.75909090909091,22.33909090909091,20.843636363636364,21.87727272727273,48.93,32.48,31.730000000000004,31.56,29.81,47.304545454545455,96.86818181818181,65.5,10.0,88.5,8
1971,0.0,3.02,2.5,-49.46333333333334,9.0,362.05555555555554,25.17,51.0,50.0,-0.19111111111111112,612.4177777777778,41.0,4.75,1.0,364.4111111111111,1.7377777777777779,1755.5555555555557,-0.015555555555555553,18.844444444444445,0.0,85.0,1760.0,58.0,48.4,51.28,35.44777777777777,36.06666666666667,34.92444444444445,32.66222222222222,33.39,41.82,39.41,26.70777777777778,22.31,20.797777777777778,21.77888888888889,48.971111111111114,32.46888888888889,31.73,31.559999999999995,29.811111111111114,46.824444444444445,96.98222222222222,65.5,10.0,88.5,8
1972,0.0,3.02,2.5,-49.63727272727272,9.0,362.0772727272727,25.17,51.0,50.0,-0.2545454545454545,612.3672727272727,41.0,4.75,1.0,364.39090909090913,1.7199999999999998,1760.0,0.0018181818181818173,18.863636363636363,0.0,85.0,1760.0,58.0,48.446363636363635,51.28,35.43727272727273,36.1,34.914545454545454,32.68909090909091,33.342727272727274,41.808181818181815,39.35909090909091,26.67,22.31,20.737272727272725,21.67,49.01,32.43,31.730000000000004,31.56,29.86818181818182,46.81727272727273,96.97818181818182,65.5,10.0,88.5,8
1973,0.0,3.02,2.5,-46.54888888888889,9.0,362.5155555555555,25.17,51.0,50.0,-0.13555555555555554,612.3177777777778,41.0,4.75,1.0,364.4555555555555,1.72,1760.0,-0.02222222222222222,17.61111111111111,0.0,85.0,1760.0,58.0,48.49,51.28,35.44777777777777,36.1,34.88,32.63666666666667,33.3,41.77,39.33,26.67,22.31,20.678888888888892,21.551111111111112,49.05777777777777,32.43,31.68333333333333,31.559999999999995,29.84333333333333,45.12555555555556,96.89111111111112,65.5,10.0,88.5,8
1974,0.0,3.02,2.5,-35.34909090909091,9.0,363.9690909090909,25.17,51.0,50.0,-0.10090909090909092,612.2672727272727,41.0,4.75,1.0,365.97272727272724,1.7199999999999998,1760.0,-0.08727272727272727,12.181818181818182,0.0,85.0,1760.0,57.9,48.49,51.32636363636364,35.49,36.1,34.88,32.61090909090909,33.35272727272727,41.77,39.37909090909091,26.62090909090909,22.36090909090909,20.647272727272725,21.46818181818182,49.1,32.48,31.69454545454545,31.56,29.812727272727273,44.12090909090909,96.57727272727271,65.5,10.0,88.5,8
1975,0.0,3.02,2.5,-39.01888888888888,9.0,363.55555555555554,25.17,51.0,50.0,-0.11222222222222222,612.2177777777778,41.0,4.75,1.0,365.9788888888889,1.72,1768.208888888889,-0.09333333333333332,13.955555555555556,0.0,85.0,1760.0,57.9,48.49,51.37,35.49,36.1,34.88,32.66222222222222,33.39,41.77,39.3,26.58,22.337777777777777,20.59111111111111,21.547777777777778,49.1,32.46888888888889,31.68333333333333,31.559999999999995,29.869999999999997,45.132222222222225,96.26111111111112,65.5,10.0,88.5,8
1976,0.0,3.02,2.5,-47.803636363636365,9.0,362.5327272727273,25.17,51.26181818181818,50.0,-0.05090909090909091,612.1672727272727,41.0,4.75,1.0,365.0281818181818,1.7199999999999998,1760.557272727273,-0.006363636363636363,18.018181818181816,0.0,85.0,1760.0,57.9,48.49,51.37,35.49,36.1,34.88,32.692727272727275,33.343636363636364,41.72,39.298181818181824,26.535454545454545,22.31,20.55909090909091,21.665454545454544,49.1,32.43,31.65,31.56,29.847272727272728,46.70454545454545,96.03181818181817,65.5,10.0,88.5,8
1977,0.0,3.02,2.5,-53.19444444444444,9.0,361.84222222222223,25.17,52.0,50.0,-0.14666666666666667,612.1177777777779,41.0,4.738888888888889,1.0,364.34666666666664,1.72,1747.7633333333333,0.02,20.366666666666667,0.0,85.0,1687.201111111111,57.9,48.534444444444446,51.37,35.49,36.1,34.88,32.75,33.35333333333333,41.583333333333336,39.44,26.5,22.31,20.503333333333334,21.752222222222223,49.14555555555555,32.43,31.649999999999995,31.559999999999995,29.869999999999997,47.23555555555556,95.93777777777778,65.5,10.0,88.5,8
1978,0.0,3.02,2.5,-57.45363636363636,9.0,361.21818181818185,25.17,52.0,50.0,-0.15,612.0672727272727,41.0,4.0618181818181816,1.0,364.0,1.5672727272727272,1491.3163636363636,0.10727272727272727,22.80909090909091,0.0,85.0,1480.0,57.9,48.58,51.41454545454545,35.49,36.1,34.88,32.77909090909091,33.343636363636364,41.557272727272725,39.445454545454545,26.544545454545457,22.36181818181818,20.416363636363638,21.78,49.18999999999999,32.48,31.65,31.56,29.9,47.54363636363637,96.03545454545456,65.5,10.0,88.5,8
1979,0.0,3.02,2.5,-66.14333333333333,9.0,360.1788888888889,25.17,52.0,50.0,-0.11333333333333334,612.0177777777777,41.0,4.0,1.0,362.26222222222225,1.44,1477.5222222222224,0.20777777777777778,26.517777777777777,0.0,85.0,1480.0,57.8,48.62222222222223,51.50222222222222,35.49,36.1,34.88,32.72333333333333,33.35333333333333,41.6,39.41,26.534444444444446,22.39,20.32888888888889,21.78,49.19,32.46888888888889,31.649999999999995,31.559999999999995,29.899999999999995,48.851111111111116,96.2688888888889,65.5,10.0,88.5,8
1980,0.0,3.017272727272727,2.5,-80.4090909090909,9.0,358.3372727272727,25.17,52.0,50.08,-0.007272727272727273,611.9672727272728,41.0,4.0,1.0,360.55636363636364,1.44,1480.0,0.23090909090909092,32.82545454545454,0.0,85.0,1480.0,57.8,48.623636363636365,51.50363636363636,35.49,36.1,34.88,32.69,33.39,41.59909090909091,39.41,26.544545454545457,22.39,20.246363636363636,21.72909090909091,49.18999999999999,32.43,31.65,31.56,29.9,49.46636363636364,96.84545454545454,65.5,10.0,88.5,8
